marca,item_fuente,item_canonico,sku_master,familia_producto,subfamilia,tamano,unidad_base,precio_regular,categoria_fuente,url_fuente,precio_base_fuente,sku_comparable
KFC,Torta TrufadaTorta sabor chocolate con crema de avellanas,Torta Trufada,KFC_POSTRE_TORTA_TRUFADA,Postre,TORTA_TRUFADA,,unidad,11.9,Postres,https://www.kfc.com.pe/carta/postres,11.9,CMP_POSTRE_TORTA_TRUFADA
KFC,Pie de ManzanaDelicioso y crocante pie relleno de trozos de manzana caramelizada,Pie Manzana,KFC_POSTRE_PIE_MANZANA,Postre,PIE_MANZANA,,unidad,6.9,Postres,https://www.kfc.com.pe/carta/postres,6.9,CMP_POSTRE_PIE_MANZANA
KFC,Galleta de AvenaGalleta de Avena,Galleta Avena,KFC_POSTRE_GALLETA_AVENA,Postre,GALLETA_AVENA,,unidad,4.9,Postres,https://www.kfc.com.pe/carta/postres,4.9,CMP_POSTRE_GALLETA_AVENA
KFC,Pie de Dulce de LecheDelicioso y crocante pie relleno de Dulce de Leche,Pie Dulce Leche,KFC_POSTRE_PIE_DULCE_LECHE,Postre,PIE_DULCE_LECHE,,unidad,6.9,Postres,https://www.kfc.com.pe/carta/postres,6.9,CMP_POSTRE_PIE_DULCE_LECHE
KFC,Inca Kola Zero Azúcar 500 mlInca Kola Zero Azúcar Personal,Inca Kola Zero 500ml,KFC_BEBIDA_INCA_KOLA_ZERO,Bebida,INCA_KOLA_ZERO,500ml,botella,4.9,Bebidas,https://www.kfc.com.pe/carta/bebidas,4.9,CMP_BEBIDA_INCA_KOLA_ZERO
KFC,Inca Kola Zero Azúcar 1LInca Kola Sin Azúcar 1L,Inca Kola Zero 1L,KFC_BEBIDA_INCA_KOLA_ZERO_1L,Bebida,INCA_KOLA_ZERO,1L,botella,7.0,Bebidas,https://www.kfc.com.pe/carta/bebidas,7.0,CMP_BEBIDA_INCA_KOLA_ZERO_1L
KFC,Inca Kola Zero Azúcar 1.5LInca Kola Sin Azúcar 1.5L,Inca Kola Zero 1.5L,KFC_BEBIDA_INCA_KOLA_ZERO_1_5L,Bebida,INCA_KOLA_ZERO,1.5L,botella,10.0,Bebidas,https://www.kfc.com.pe/carta/bebidas,10.0,CMP_BEBIDA_INCA_KOLA_ZERO_1_5L
KFC,Coca-Cola Zero Azúcar 500 mlCoca-Cola Zero Azúcar Personal,Coca Cola Zero 500ml,KFC_BEBIDA_COCA_COLA_ZERO,Bebida,COCA_COLA_ZERO,500ml,botella,4.9,Bebidas,https://www.kfc.com.pe/carta/bebidas,4.9,CMP_BEBIDA_COCA_COLA_ZERO
KFC,Coca-Cola Zero Azúcar 1LCoca-Cola Zero Azúcar 1L,Coca Cola Zero 1L,KFC_BEBIDA_COCA_COLA_ZERO_1L,Bebida,COCA_COLA_ZERO,1L,botella,7.0,Bebidas,https://www.kfc.com.pe/carta/bebidas,7.0,CMP_BEBIDA_COCA_COLA_ZERO_1L
KFC,Coca-Cola Zero Azúcar 1.5LCoca-Cola Zero Azúcar 1.5L,Coca Cola Zero 1.5L,KFC_BEBIDA_COCA_COLA_ZERO_1_5L,Bebida,COCA_COLA_ZERO,1.5L,botella,10.0,Bebidas,https://www.kfc.com.pe/carta/bebidas,10.0,CMP_BEBIDA_COCA_COLA_ZERO_1_5L
KFC,Fanta Naranja 500 mlFanta Personal,Fanta 500ml,KFC_BEBIDA_FANTA,Bebida,FANTA,500ml,botella,4.9,Bebidas,https://www.kfc.com.pe/carta/bebidas,4.9,CMP_BEBIDA_FANTA
KFC,Fanta 2.25LFanta de 2.25L,Fanta 2.25L,KFC_BEBIDA_FANTA_2_25L,Bebida,FANTA,2.25L,botella,13.0,Bebidas,https://www.kfc.com.pe/carta/bebidas,13.0,CMP_BEBIDA_FANTA_2_25L
KFC,Sprite Original 500 mlSprite Personal,Sprite 500ml,KFC_BEBIDA_SPRITE,Bebida,SPRITE,500ml,botella,4.9,Bebidas,https://www.kfc.com.pe/carta/bebidas,4.9,CMP_BEBIDA_SPRITE
KFC,Sprite 2.25LSprite 2.25L,Sprite 2.25L,KFC_BEBIDA_SPRITE_2_25L,Bebida,SPRITE,2.25L,botella,13.0,Bebidas,https://www.kfc.com.pe/carta/bebidas,13.0,CMP_BEBIDA_SPRITE_2_25L
KFC,Agua Saborizada de ManzanaAgua Saborizada de Manzana,Agua Saborizada Manzana,KFC_BEBIDA_AGUA_SABORIZADA_MANZANA,Bebida,AGUA_SABORIZADA_MANZANA,,unidad,4.5,Bebidas,https://www.kfc.com.pe/carta/bebidas,4.5,CMP_BEBIDA_AGUA_SABORIZADA_MANZANA
KFC,Agua San Luis Sin Gas 750 mlAgua San Luis Sin Gas 750 ml,Agua San Luis 750ml,KFC_BEBIDA_AGUA_SAN_LUIS_750ML,Bebida,AGUA_SAN_LUIS,750ml,botella,4.5,Bebidas,https://www.kfc.com.pe/carta/bebidas,4.5,CMP_BEBIDA_AGUA_SAN_LUIS_750ML
